Pair,Timeframe,Initial Capital,Final Capital,Total Profit,Total Profit %,Total Trades,Winning Trades,Losing Trades,Win Rate %,Avg Profit,Avg Profit %,Days
iBTCUSDM,1D,10000,10258.035717312045,258.035717312046,2.5803571731204467,10,7,3,70.0,25.803571731204602,5.413451428258896,731
iBTCUSDM,12H,10000,10274.51798821053,274.5179882105265,2.7451798821052944,46,17,29,36.95652173913043,5.967782352402749,1.784321452180103,1462
iBTCUSDM,8H,10000,10051.139705679529,51.13970567952646,0.5113970567952857,66,24,42,36.36363636363637,0.7748440254473705,0.6865781017877339,2193
iETHUSDM,1D,10000,10101.595252660283,101.59525266028243,1.0159525266028322,10,5,5,50.0,10.159525266028243,2.846169531546212,731
iETHUSDM,12H,10000,10311.238201481137,311.23820148114123,3.1123820148113737,55,18,37,32.72727272727273,5.6588763905662045,1.620522077068011,1462
iETHUSDM,8H,10000,10508.120262937693,508.1202629376979,5.08120262937693,88,30,58,34.090909090909086,5.774093897019294,0.9932702811228082,2193
ADAUSDM,1D,10000,11077.816807059182,1077.816807059179,10.77816807059182,28,11,17,39.285714285714285,38.493457394970676,3.848169181626987,731
ADAUSDM,12H,10000,10386.238164047838,386.2381640478332,3.8623816404783797,82,24,58,29.268292682926827,4.710221512778453,0.8813449247016497,1462
ADAUSDM,8H,10000,9934.569625929546,-65.43037407044523,-0.6543037407045449,118,33,85,27.966101694915253,-0.5544946955122477,0.32089020185604217,2193
WMTXUSDM,1D,10000,9843.48921290517,-156.5107870948312,-1.5651078709483044,15,2,13,13.333333333333334,-10.434052472988746,-0.7057079669902894,731
WMTXUSDM,12H,10000,10654.514928297971,654.5149282979686,6.545149282979709,41,15,26,36.58536585365854,15.963778738974842,1.781369485237963,1462
WMTXUSDM,8H,10000,10279.156208543909,279.1562085439114,2.791562085439091,71,25,46,35.2112676056338,3.931777585125513,0.4336283656234178,2193
IAGUSDM,1D,10000,10093.73137303277,93.7313730327732,0.9373137303276963,11,3,8,27.27272727272727,8.521033912070292,0.6722895384352934,731
IAGUSDM,12H,10000,10256.846645964468,256.8466459644688,2.5684664596446782,25,9,16,36.0,10.273865838578752,1.232984613655632,1462
IAGUSDM,8H,10000,10188.857265681563,188.85726568156343,1.8885726568156316,61,24,37,39.34426229508197,3.096020748878089,1.1068584896510465,2193
SNEKUSDM,1D,10000,9985.997620347785,-14.002379652213449,-0.14002379652214586,18,4,14,22.22222222222222,-0.7779099806785249,0.6904628534609594,731
SNEKUSDM,12H,10000,9704.759080471036,-295.24091952896424,-2.952409195289638,35,7,28,20.0,-8.435454843684692,-0.20625103366112713,1462
SNEKUSDM,8H,10000,9904.378244654055,-95.62175534594024,-0.9562175534594461,57,20,37,35.08771929824561,-1.6775746551919342,0.31718005696987583,2193
