pair,timeframe,rsi_buy,rsi_sell,max_dca,total_profit_pct,win_rate,total_trades,avg_profit_pct,final_capital
iBTCUSDM,6H,30,80,5,-5.561223189379288,56.00000000000001,150,0.33033815966403257,9443.877681062071
iBTCUSDM,4H,20,80,2,-13.616181075234163,51.445086705202314,173,-0.3412699665378809,8638.381892476584
iBTCUSDM,2H,20,80,2,-40.72806198267417,35.25179856115108,278,-0.9305932030704915,5927.193801732583
iBTCUSDM,1H,20,80,2,-64.16725634531541,14.886731391585762,309,-1.36692849022951,3583.274365468459
iETHUSDM,6H,20,80,5,-0.3139665970468377,46.98795180722892,166,0.1704219872603858,9968.603340295316
iETHUSDM,4H,20,80,5,-18.330849028897873,48.93617021276596,235,-0.07248063212734956,8166.915097110213
iETHUSDM,2H,20,80,2,-58.279433432634484,30.538922155688624,334,-1.1051269131173571,4172.056656736551
iETHUSDM,1H,20,80,2,-91.20929403643252,14.136125654450263,382,-1.6056663522647463,879.0705963567466
ADAUSDM,6H,20,78,5,-6.555149044157442,38.7434554973822,191,0.034999174364003675,9344.485095584256
ADAUSDM,4H,25,80,2,-30.777460725709272,37.86764705882353,272,-0.504257108557185,6922.253927429073
ADAUSDM,2H,20,80,2,-79.3333582676206,28.645833333333332,384,-1.3171120249265948,2066.664173237941
ADAUSDM,1H,20,80,2,-98.90003218871519,13.100436681222707,458,-1.789241697520565,109.99678112848042
WMTXUSDM,6H,25,78,5,5.708070911134546,55.79710144927537,138,0.5270674719207091,10570.807091113455
WMTXUSDM,4H,28,70,2,-1.054817999185343,64.15929203539822,226,0.15949953133124214,9894.518200081466
WMTXUSDM,2H,20,70,3,-6.8725709206944705,66.7458432304038,421,0.03163584108097754,9312.742907930553
WMTXUSDM,1H,20,70,2,-17.93231475310724,62.365591397849464,465,-0.22798008408796666,8206.768524689276
IAGUSDM,6H,20,78,5,2.6025049285506614,55.26315789473685,114,0.5252983111162614,10260.250492855066
IAGUSDM,4H,30,72,2,-0.7438160846275241,65.74074074074075,216,0.26757814614394443,9925.618391537248
IAGUSDM,2H,25,75,2,-3.714000584169535,66.18004866180048,411,0.053338341944168394,9628.599941583047
IAGUSDM,1H,20,80,2,-16.727475602467003,63.6986301369863,438,-0.19228887719898055,8327.2524397533
SNEKUSDM,6H,25,70,4,1.8072967545213032,63.358778625954194,131,0.5154408826915143,10180.72967545213
SNEKUSDM,4H,28,80,2,-0.7256555552293684,65.42056074766354,214,0.36025331167254787,9927.434444477063
SNEKUSDM,2H,30,70,2,-3.9456736548898514,68.44660194174757,412,0.0331492978932772,9605.432634511015
SNEKUSDM,1H,20,70,2,-15.03132048455338,66.51480637813212,439,-0.1872363321966948,8496.867951544662
