take_profit,stop_loss,rsi_buy,rsi_sell,position_size,max_dca,avg_profit,avg_win_rate,avg_trades,total_trades,period_count,score
0.08,0.04,28,75,0.07,3,7.34193020441327,50.863095238095234,13.0,52,4,21.811970190708337
0.08,0.05,28,75,0.07,3,7.34193020441327,50.863095238095234,13.0,52,4,21.811970190708337
0.08,0.03,28,77,0.07,3,7.34193020441327,50.863095238095234,13.0,52,4,21.811970190708337
0.08,0.03,28,80,0.07,3,7.34193020441327,50.863095238095234,13.0,52,4,21.811970190708337
0.08,0.05,28,80,0.07,3,7.34193020441327,50.863095238095234,13.0,52,4,21.811970190708337
0.08,0.05,28,77,0.07,3,7.34193020441327,50.863095238095234,13.0,52,4,21.811970190708337
0.08,0.03,28,75,0.07,3,7.34193020441327,50.863095238095234,13.0,52,4,21.811970190708337
0.08,0.04,28,80,0.07,3,7.34193020441327,50.863095238095234,13.0,52,4,21.811970190708337
0.08,0.04,28,77,0.07,3,7.34193020441327,50.863095238095234,13.0,52,4,21.811970190708337
0.08,0.05,28,75,0.07,2,7.183675184486005,50.863095238095234,13.0,52,4,21.70119167675925
0.08,0.04,28,75,0.07,2,7.183675184486005,50.863095238095234,13.0,52,4,21.70119167675925
0.08,0.05,28,80,0.07,2,7.183675184486005,50.863095238095234,13.0,52,4,21.70119167675925
0.08,0.04,28,80,0.07,2,7.183675184486005,50.863095238095234,13.0,52,4,21.70119167675925
0.08,0.03,28,80,0.07,2,7.183675184486005,50.863095238095234,13.0,52,4,21.70119167675925
0.08,0.04,28,77,0.07,2,7.183675184486005,50.863095238095234,13.0,52,4,21.70119167675925
0.08,0.03,28,77,0.07,2,7.183675184486005,50.863095238095234,13.0,52,4,21.70119167675925
0.08,0.05,28,77,0.07,2,7.183675184486005,50.863095238095234,13.0,52,4,21.70119167675925
0.08,0.03,28,75,0.07,2,7.183675184486005,50.863095238095234,13.0,52,4,21.70119167675925
0.12,0.03,28,75,0.07,2,6.842313741774106,47.51488095238095,13.0,52,4,20.792595809718065
0.12,0.03,28,77,0.07,2,6.842313741774106,47.51488095238095,13.0,52,4,20.792595809718065
