take_profit,stop_loss,rsi_buy,rsi_sell,position_size,max_dca,avg_profit,avg_win_rate,avg_trades,total_trades,period_count,score
0.1,0.04,25,77,0.07,2,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.04,25,80,0.07,2,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.03,25,77,0.07,2,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.03,25,77,0.07,3,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.03,25,80,0.07,2,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.03,25,80,0.07,3,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.05,25,80,0.07,3,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.05,25,77,0.07,3,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.04,25,77,0.07,3,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.05,25,80,0.07,2,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.04,25,80,0.07,3,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.05,25,77,0.07,2,1.7599119528625442,77.5,4.75,19,4,19.10693836700378
0.1,0.03,25,75,0.07,2,1.70608341650724,77.5,4.75,19,4,19.069258391555067
0.1,0.03,25,75,0.07,3,1.70608341650724,77.5,4.75,19,4,19.069258391555067
0.1,0.05,25,75,0.07,2,1.70608341650724,77.5,4.75,19,4,19.069258391555067
0.1,0.05,25,75,0.07,3,1.70608341650724,77.5,4.75,19,4,19.069258391555067
0.1,0.04,25,75,0.07,3,1.70608341650724,77.5,4.75,19,4,19.069258391555067
0.1,0.04,25,75,0.07,2,1.70608341650724,77.5,4.75,19,4,19.069258391555067
0.1,0.05,25,80,0.05,2,1.2642026922065452,77.5,4.75,19,4,18.75994188454458
0.1,0.03,25,77,0.05,2,1.2642026922065452,77.5,4.75,19,4,18.75994188454458
